Category,SPY,EEM,EuroStoxx50,Nikkei225,Gold,Oil_WTI,Oil_Brent,Copper,Bitcoin,DXY,USDJPY,USDCNY,USDTRY,US2YR,US10YR,US30YR,TIPS5YR,VIX,MOVE,HY_Spread,IG_Spread,EM_Spread
DIP,-1.1685,-0.1914,-2.4714,-1.3046,0.3724,2.4304,2.9655,-2.3742,-3.26605,0.011,-0.8193,0.1025,-0.9839,0.0048,0.0481,0.0188,-0.063,1.3017,0.6329,0.0731,0.0092,0.1271
ENR,-0.43300000000000005,-3.2179,-0.25,-0.11280000000000001,0.6345000000000001,5.7409,-0.4556,-1.1151,-4.91925,0.06565,0.72035,0.09155,-0.12414999999999998,0.0447,-0.005850000000000001,-0.01735,-0.007800000000000001,-0.45455,-8.0671,-0.05075,-0.0485,0.006350000000000001
FIN,-0.8369,-1.5174,-1.8448,-2.754,4.37,-5.46675,-5.4971,-4.17875,12.6306,-0.50295,-1.0098500000000001,0.0015999999999999999,0.1811,-0.0673,-0.016800000000000002,0.00995,-0.1606,4.28425,20.5488,0.4494,0.28400000000000003,0.4109
MIL,-0.455,-0.0788,-1.0196,-1.1096,1.0458,-1.9499,-0.9939,0.1378,3.5591,0.3836,-0.0463,-0.019,-0.9663,0.0335,0.0201,-0.036,-0.05205,1.2287,2.3857999999999997,0.0653,0.0192,0.0389
POL,1.4852,-0.2332,1.2215,1.8293,-1.6814,-1.4339,-0.5223,0.468,0.6813,0.2336,0.2337,0.0665,-0.8873,0.0547,0.0363,0.0278,-0.0183,-1.0081,-2.0637,-0.1598,-0.0578,-0.0738
SAN,-1.0380500000000001,-3.8377499999999998,-0.4861,-1.6099999999999999,1.24585,0.33409999999999995,-1.4529,-1.38425,-4.474,0.03909999999999998,-0.2892,0.13549999999999998,-0.04685,0.0097,-0.0415,-0.02555,0.01565,0.6704,2.19755,-0.0595,0.0298,0.08485000000000001
TER,-2.0492,-0.2672,0.2653,-0.8929999999999999,0.9207500000000002,-8.5562,-15.4461,-5.3346,-30.81955,-0.056999999999999995,-2.0252499999999998,0.0027,-2.0152,-0.20545000000000002,-0.19845,-0.06475,-0.05605,2.49465,2.2502,0.42779999999999996,0.0701,0.1314
