Category,SPY,EEM,EuroStoxx50,Nikkei225,Gold,Oil_WTI,Oil_Brent,Copper,Bitcoin,DXY,USDJPY,USDCNY,USDTRY,US2YR,US10YR,US30YR,TIPS5YR,VIX,MOVE,HY_Spread,IG_Spread,EM_Spread
DIP,3.1486857142857145,2.497357142857143,1.9377571428571427,2.043357142857143,2.0059142857142858,1.2774714285714286,1.231542857142857,1.7224,1.5527499999999999,1.9116285714285712,1.8043285714285715,1.5322285714285715,1.163857142857143,1.5545142857142855,1.917757142857143,1.9367857142857143,1.7760571428571428,2.9144,1.9880714285714285,1.8864285714285713,1.4287142857142858,1.9173142857142855
ENR,1.5291375,1.545625,1.519425,2.7236624999999997,1.7606625,2.1076,2.567557142857143,1.8174875,1.7810333333333332,1.6819,1.8585125,1.623775,1.24905,1.4487625,1.5955125,1.5222625,1.93285,1.509375,1.584525,1.5515375,1.4195625,1.2774375
FIN,3.8991599999999997,3.9526888888888885,4.847066666666667,2.39822,3.4538333333333333,3.49176,2.7515222222222224,2.03417,3.66858,2.28503,2.8346600000000004,1.9093,2.1799555555555554,3.33782,3.27828,3.3538399999999995,4.269566666666667,5.53182,4.290922222222222,4.50722,7.98218,4.49807
MIL,1.5543851851851853,1.624592,1.8464217391304347,1.6898,1.7873839999999999,1.613337037037037,1.6589608695652174,1.8067185185185184,1.3409333333333333,1.5969074074074074,1.3491,1.3625777777777779,1.318568,1.9121333333333335,1.6493851851851853,1.676725925925926,1.5307769230769233,1.6213925925925925,1.5003000000000002,1.5950111111111112,1.8163444444444445,1.7614666666666667
POL,1.5577260869565217,1.9791391304347827,1.7454521739130435,1.765791304347826,2.1653608695652173,1.5200695652173914,1.4891173913043476,2.1558086956521736,1.6781352941176468,2.3635434782608695,2.10504347826087,1.7798739130434782,2.0795608695652175,1.746604347826087,2.0585478260869565,2.020621739130435,1.8543086956521737,1.5126608695652173,2.1261260869565217,1.4707434782608697,1.628317391304348,1.8244347826086957
SAN,2.8986666666666667,2.605891666666667,2.560409090909091,1.896425,2.1163,1.9093833333333334,1.9780818181818183,1.9151750000000003,1.9957222222222224,1.9556333333333333,1.6670083333333334,1.9418166666666667,1.4468416666666666,2.452775,1.8516000000000001,2.0097333333333336,1.7621833333333334,2.88275,2.5633416666666666,2.5796083333333333,3.034925,2.5162
TER,2.587733333333333,2.00556,2.7710000000000004,1.8982666666666665,1.7845499999999999,3.0471333333333335,3.373666666666667,2.3347833333333337,2.54095,2.1215333333333333,2.4383833333333333,1.8528000000000002,1.278,2.48905,1.8913833333333334,2.0044666666666666,2.1898,3.504966666666667,1.34954,3.849716666666667,3.293616666666667,2.2269333333333337
